MachineID,MachineName,LineID,PlantID,MachineType,Manufacturer,MaxCapacity_UnitsPerHour,InstallationDate,Age_Years,LastMaintenanceDate,MaintenanceFrequency_Days,Status,Cost
P001-L1-M1,Hydraulic Press #1,P001-L1,P001,Hydraulic Press,KUKA,488,2026-03-06,1,2026-05-18,180,Active,139138
P001-L1-M2,CNC Lathe #2,P001-L1,P001,Hydraulic Press,Fanuc,500,2023-10-21,2,2026-05-18,60,Active,285629
P001-L1-M3,Hydraulic Press #3,P001-L1,P001,Hydraulic Press,Bosch,394,2022-06-24,4,2026-05-18,60,Under Repair,231425
P001-L2-M1,Industrial Robot #1,P001-L2,P001,CNC Lathe,Bosch,523,2024-12-04,4,2026-05-18,30,Active,187678
P001-L2-M2,Welding Robot #2,P001-L2,P001,CNC Lathe,Bosch,755,2020-02-08,6,2026-05-18,90,Active,489662
P001-L2-M3,Assembly Machine #3,P001-L2,P001,CNC Lathe,KUKA,449,2020-02-09,7,2026-05-18,60,Under Repair,91088
P001-L3-M1,CNC Lathe #1,P001-L3,P001,Industrial Robot,KUKA,795,2025-11-11,3,2026-05-18,90,Active,471952
P001-L3-M2,Assembly Machine #2,P001-L3,P001,Assembly Machine,Siemens,470,2022-03-27,3,2026-05-18,30,Active,395761
P001-L3-M3,Industrial Robot #3,P001-L3,P001,Industrial Robot,Siemens,452,2020-12-27,7,2026-05-18,180,Active,411692
P001-L4-M1,CNC Lathe #1,P001-L4,P001,Assembly Machine,Bosch,637,2020-07-21,7,2026-05-18,60,Active,150037
P001-L4-M2,Assembly Machine #2,P001-L4,P001,Assembly Machine,Fanuc,734,2023-02-16,6,2026-05-18,180,Active,69955
P001-L4-M3,CNC Lathe #3,P001-L4,P001,CNC Lathe,ABB,621,2019-05-30,1,2026-05-18,30,Active,461568
P001-L5-M1,Assembly Machine #1,P001-L5,P001,Welding Robot,Bosch,448,2022-11-25,1,2026-05-18,90,Active,103069
P001-L5-M2,CNC Lathe #2,P001-L5,P001,CNC Lathe,Bosch,570,2021-10-05,1,2026-05-18,180,Active,153463
P001-L5-M3,Hydraulic Press #3,P001-L5,P001,Welding Robot,ABB,602,2019-07-24,1,2026-05-18,90,Active,269966
P002-L1-M1,Hydraulic Press #1,P002-L1,P002,Industrial Robot,Fanuc,580,2021-05-25,1,2026-05-18,180,Active,315736
P002-L1-M2,CNC Lathe #2,P002-L1,P002,CNC Lathe,Siemens,495,2023-12-24,7,2026-05-18,90,Active,382719
P002-L1-M3,Welding Robot #3,P002-L1,P002,Welding Robot,Siemens,389,2021-04-08,7,2026-05-18,180,Under Repair,265941
P002-L2-M1,Hydraulic Press #1,P002-L2,P002,Industrial Robot,ABB,615,2023-09-07,2,2026-05-18,60,Active,423759
P002-L2-M2,Hydraulic Press #2,P002-L2,P002,Welding Robot,Bosch,398,2022-05-07,1,2026-05-18,30,Active,321493
P002-L2-M3,Industrial Robot #3,P002-L2,P002,Industrial Robot,Fanuc,593,2022-04-19,5,2026-05-18,60,Under Repair,134302
P002-L3-M1,Hydraulic Press #1,P002-L3,P002,Industrial Robot,Fanuc,355,2023-11-19,3,2026-05-18,90,Active,201677
P002-L3-M2,Welding Robot #2,P002-L3,P002,Hydraulic Press,Siemens,522,2023-11-20,7,2026-05-18,30,Active,436624
P002-L3-M3,Welding Robot #3,P002-L3,P002,CNC Lathe,Siemens,518,2021-06-09,1,2026-05-18,90,Under Repair,412542
P002-L4-M1,Hydraulic Press #1,P002-L4,P002,CNC Lathe,ABB,606,2020-08-20,7,2026-05-18,180,Under Repair,67539
P002-L4-M2,Industrial Robot #2,P002-L4,P002,Welding Robot,Fanuc,650,2020-02-15,3,2026-05-18,180,Active,256551
P002-L4-M3,Assembly Machine #3,P002-L4,P002,Assembly Machine,Siemens,515,2021-11-14,3,2026-05-18,90,Under Repair,381690
P002-L5-M1,CNC Lathe #1,P002-L5,P002,Hydraulic Press,Siemens,604,2020-07-29,2,2026-05-18,90,Active,204599
P002-L5-M2,Assembly Machine #2,P002-L5,P002,Welding Robot,Siemens,404,2020-07-21,6,2026-05-18,60,Active,487694
P002-L5-M3,Assembly Machine #3,P002-L5,P002,CNC Lathe,Bosch,520,2020-01-19,3,2026-05-18,90,Under Repair,402161
P003-L1-M1,Industrial Robot #1,P003-L1,P003,CNC Lathe,Fanuc,485,2023-06-23,2,2026-05-18,60,Under Repair,190006
P003-L1-M2,Assembly Machine #2,P003-L1,P003,Welding Robot,KUKA,764,2022-09-16,3,2026-05-18,180,Under Repair,56153
P003-L1-M3,CNC Lathe #3,P003-L1,P003,Hydraulic Press,Bosch,531,2022-08-01,4,2026-05-18,180,Active,495073
